Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Export Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%)
China,Aruba,2020,Export,  All Products,35784.06,100,1,-15.44,-11.25
China,Afghanistan,2020,Export,  All Products,500680.47,100,,,
China,Angola,2020,Export,  All Products,1748092.2,100,,,
China,Albania,2020,Export,  All Products,571223.97,100,1,-4.3,-5.46
China,Andorra,2020,Export,  All Products,3400.57,100,,,
China,United Arab Emirates,2020,Export,  All Products,32310092.21,100,1,-7.47,-1.72
China,Argentina,2020,Export,  All Products,7083804.68,100,1,-7.15,-3.31
China,Armenia,2020,Export,  All Products,222790.26,100,1,-5.12,-5.82
China,Antigua and Barbuda,2020,Export,  All Products,91316.08,100,,,
China,Australia,2020,Export,  All Products,53468167.17,100,1,-2.17,3.54
China,Austria,2020,Export,  All Products,3406365.74,100,1,-3.45,2.81
China,Azerbaijan,2020,Export,  All Products,617867.33,100,1,-11.33,-0.64
China,Burundi,2020,Export,  All Products,73966.17,100,1,1.23,1.99
China,Belgium,2020,Export,  All Products,20751809.14,100,1,-3.94,5.52
China,Benin,2020,Export,  All Products,988381.36,100,1,-4.77,-3.08
China,Bonaire,2020,Export,  All Products,4.09,100,,,
China,Burkina Faso,2020,Export,  All Products,322521.46,100,1,-0.95,-0.08
China,Bangladesh,2020,Export,  All Products,15075630.65,100,,,
China,Bulgaria,2020,Export,  All Products,1547027.44,100,1,-3.69,2.26
China,Bahrain,2020,Export,  All Products,1120247.09,100,,,
China,"Bahamas, The",2020,Export,  All Products,277829.87,100,,,
China,Bosnia and Herzegovina,2020,Export,  All Products,120101.9,100,1,-5.96,-2.26
China,Belarus,2020,Export,  All Products,2113223.54,100,1,-8.89,-0.59
China,Belize,2020,Export,  All Products,103860.25,100,1,-10.65,-8.15
China,Bermuda,2020,Export,  All Products,35588.65,100,1,-10.07,4.58
China,Bolivia,2020,Export,  All Products,687775.72,100,1,-14.9,-14.64
China,Brazil,2020,Export,  All Products,34953227.52,100,1,-7.2,-0.97
China,Barbados,2020,Export,  All Products,79095.66,100,1,-2.56,-34.75
China,Brunei,2020,Export,  All Products,466218.27,100,1,2.32,-7.32
China,Bhutan,2020,Export,  All Products,13561.21,100,,,
China,Botswana,2020,Export,  All Products,235431.93,100,1,-0.42,13.1
China,Central African Republic,2020,Export,  All Products,27963.79,100,,,
China,Canada,2020,Export,  All Products,42094313.39,100,1,-5.53,0.45
China,Switzerland,2020,Export,  All Products,5091730.42,100,1,2.5,8.03
China,Chile,2020,Export,  All Products,15336289.7,100,1,-7.76,-0.29
China,Cote d'Ivoire,2020,Export,  All Products,2333548.18,100,,,
China,Cameroon,2020,Export,  All Products,2022462.89,100,,,
China,"Congo, Rep.",2020,Export,  All Products,596300.05,100,1,-7.75,18.07
China,Cook Islands,2020,Export,  All Products,5485.04,100,,,
China,Colombia,2020,Export,  All Products,9320163.03,100,1,-9.16,-2.62
China,Comoros,2020,Export,  All Products,50536.99,100,1,15.35,-2.68
China,Cape Verde,2020,Export,  All Products,77836.68,100,1,19.69,30.08
China,Costa Rica,2020,Export,  All Products,1535659.26,100,1,-5.26,-0.77
China,Cuba,2020,Export,  All Products,483292.52,100,,,
China,Curaçao,2020,Export,  All Products,50271.1,100,,,
China,Cayman Islands,2020,Export,  All Products,36581.57,100,1,,
China,Cyprus,2020,Export,  All Products,893105.04,100,1,-2.49,5.54
China,Czech Republic,2020,Export,  All Products,13737631.31,100,1,-2.21,4.66
China,Germany,2020,Export,  All Products,86807061.05,100,1,-2.73,4.16
China,Djibouti,2020,Export,  All Products,2310111.79,100,,,
China,Dominica,2020,Export,  All Products,21059.39,100,,,
China,Denmark,2020,Export,  All Products,7464243.69,100,1,-0.64,3.52
China,Dominican Republic,2020,Export,  All Products,2493940.3,100,1,-11.8,-6.57
China,Algeria,2020,Export,  All Products,5596322.06,100,,,
China,East Asia & Pacific,2020,Export,  All Products,979704399.2,100,,,
China,Europe & Central Asia,2020,Export,  All Products,577054109.5,100,,,
China,Ecuador,2020,Export,  All Products,3252314.42,100,1,-10.89,-6.32
China,"Egypt, Arab Rep.",2020,Export,  All Products,13627746.81,100,1,-12.46,-13.3
China,Eritrea,2020,Export,  All Products,70486.19,100,,,
China,Western Sahara,2020,Export,  All Products,1455.62,100,,,
China,Spain,2020,Export,  All Products,27517998.27,100,1,-6.29,1.33
China,Estonia,2020,Export,  All Products,863880.71,100,1,-2.4,4.54
China,Ethiopia(excludes Eritrea),2020,Export,  All Products,2233306.8,100,1,-4.76,-1.35
China,Finland,2020,Export,  All Products,2949767.71,100,1,-3.77,5.79
China,Fiji,2020,Export,  All Products,322177.71,100,1,-21.12,-10.03
China,France,2020,Export,  All Products,37335184.95,100,1,-4.81,-16.88
China,Faeroe Islands,2020,Export,  All Products,1348.95,100,,,
China,"Micronesia, Fed. Sts.",2020,Export,  All Products,20865.63,100,,,
China,Gabon,2020,Export,  All Products,415439.12,100,,,
China,United Kingdom,2020,Export,  All Products,72561343.66,100,1,-4.3,7.32
China,Georgia,2020,Export,  All Products,1275672.26,100,1,-8.02,-9.13
China,Ghana,2020,Export,  All Products,6756191.47,100,,,
China,Gibraltar,2020,Export,  All Products,2984.84,100,,,
China,Guinea,2020,Export,  All Products,1911678.25,100,,,
China,"Gambia, The",2020,Export,  All Products,535660.04,100,1,5.81,4.89
China,Guinea-Bissau,2020,Export,  All Products,51430.64,100,,,
China,Equatorial Guinea,2020,Export,  All Products,122120.22,100,,,
China,Greece,2020,Export,  All Products,7036561.55,100,1,-5.51,-3.03
China,Grenada,2020,Export,  All Products,15407.76,100,1,-9.32,-2.11
China,Greenland,2020,Export,  All Products,1596.81,100,,,
China,Guatemala,2020,Export,  All Products,2472503.06,100,1,-4.3,0.55
China,Guyana,2020,Export,  All Products,265469.91,100,1,-21.29,-1.01
China,"Hong Kong, China",2020,Export,  All Products,271708494.7,100,1,-0.48,-2.58
China,Honduras,2020,Export,  All Products,922864.01,100,,,
China,Croatia,2020,Export,  All Products,1566720.93,100,1,-3.47,22.84
China,Haiti,2020,Export,  All Products,709270.88,100,,,
China,Hungary,2020,Export,  All Products,7403703.57,100,1,-1.68,12.24
China,Indonesia,2020,Export,  All Products,40980976.64,100,1,-9.08,-6.08
China,India,2020,Export,  All Products,66719471.59,100,1,-12.34,-7.29
China,Ireland,2020,Export,  All Products,3995892.37,100,1,-1.53,10.77
China,"Iran, Islamic Rep.",2020,Export,  All Products,8491806.87,100,,,
China,Iraq,2020,Export,  All Products,10922539.88,100,,,
China,Iceland,2020,Export,  All Products,100876.53,100,1,-6.95,-0.5
China,Israel,2020,Export,  All Products,11253576.12,100,1,-4.9,-13.43
China,Italy,2020,Export,  All Products,32914226.69,100,1,-5.24,1.95
China,Jamaica,2020,Export,  All Products,630460.13,100,1,-14.25,-10.75
China,Jordan,2020,Export,  All Products,3181485.6,100,1,-6.22,-6.33
China,Japan,2020,Export,  All Products,142596624.7,100,1,-6.13,-1.62
China,Kazakhstan,2020,Export,  All Products,11703034.9,100,1,-0.36,-1.69
China,Kenya,2020,Export,  All Products,5409543.03,100,1,-5.39,-2.77
China,Kyrgyz Republic,2020,Export,  All Products,2865336.49,100,1,-17.61,-34.85
China,Cambodia,2020,Export,  All Products,8054487.48,100,1,-2.91,-3.27
China,Kiribati,2020,Export,  All Products,24408.64,100,1,,
China,St. Kitts and Nevis,2020,Export,  All Products,13483.9,100,,,
China,"Korea, Rep.",2020,Export,  All Products,112476216,100,1,-3.62,0.76
China,Kuwait,2020,Export,  All Products,3547783.7,100,1,-8.06,-9.22
China,Lao PDR,2020,Export,  All Products,1491277.6,100,1,-7.01,-12.23
China,Lebanon,2020,Export,  All Products,945620.31,100,1,-23.18,-32.19
China,Liberia,2020,Export,  All Products,3401408.86,100,,,
China,Libya,2020,Export,  All Products,1880409.44,100,,,
China,St. Lucia,2020,Export,  All Products,23346.83,100,,,
China,Latin America & Caribbean,2020,Export,  All Products,149771362.5,100,,,
China,Sri Lanka,2020,Export,  All Products,3842700.34,100,1,-10.48,-5.76
China,Lesotho,2020,Export,  All Products,59382.36,100,1,4.64,22.87
China,Lithuania,2020,Export,  All Products,1807600.48,100,1,-3.44,13.38
China,Luxembourg,2020,Export,  All Products,949472.69,100,1,-4.03,1.61
China,Latvia,2020,Export,  All Products,1052331.71,100,1,-1.28,12.72
China,Macao,2020,Export,  All Products,2279447.69,100,1,-0.31,-5.24
China,Morocco,2020,Export,  All Products,4173568.34,100,1,-6.61,2.36
China,Moldova,2020,Export,  All Products,145799.11,100,1,-3.72,3.55
China,Madagascar,2020,Export,  All Products,997650.39,100,1,-9.53,8.93
China,Maldives,2020,Export,  All Products,275699.57,100,,,
China,Middle East & North Africa,2020,Export,  All Products,139673849.4,100,,,
China,Mexico,2020,Export,  All Products,44827693.17,100,1,-8.28,-5.91
China,Marshall Islands,2020,Export,  All Products,3284614.25,100,,,
China,North Macedonia,2020,Export,  All Products,156794.59,100,1,-3.98,4.87
China,Mali,2020,Export,  All Products,468440.64,100,,,
China,Malta,2020,Export,  All Products,1367803.89,100,1,-20.14,17.04
China,Myanmar,2020,Export,  All Products,12547510.39,100,1,-1.75,0.62
China,Mongolia,2020,Export,  All Products,1618062.44,100,1,-7.01,-3.6
China,Montenegro,2020,Export,  All Products,113158.08,100,1,-9.27,3.84
China,Mozambique,2020,Export,  All Products,2000068.55,100,1,-8.2,-10.21
China,Mauritania,2020,Export,  All Products,740086.97,100,1,-11.7,-22.73
China,Montserrat,2020,Export,  All Products,404.44,100,1,-2.97,-24.09
China,Mauritius,2020,Export,  All Products,699954.11,100,1,-13.16,-13.43
China,Malawi,2020,Export,  All Products,218482.8,100,1,-3.72,-9.71
China,Malaysia,2020,Export,  All Products,56300820.69,100,1,-3.63,-1.71
China,North America,2020,Export,  All Products,494622778.4,100,,,
China,Namibia,2020,Export,  All Products,223111.84,100,1,-8.14,-1.42
China,New Caledonia,2020,Export,  All Products,121934.95,100,,,
China,Niger,2020,Export,  All Products,303134.67,100,1,4.55,-0.56
China,Norfolk Island,2020,Export,  All Products,1967.51,100,,,
China,Nigeria,2020,Export,  All Products,16787426.63,100,1,8.2,14.99
China,Nicaragua,2020,Export,  All Products,486433.98,100,1,-3.2,0.39
China,Netherlands,2020,Export,  All Products,79006012.37,100,1,-3.03,3.13
China,Norway,2020,Export,  All Products,3533992.23,100,1,-2.66,5.5
China,Nepal,2020,Export,  All Products,1167416.18,100,,,
China,Nauru,2020,Export,  All Products,1939.3,100,,,
China,New Zealand,2020,Export,  All Products,6052987.51,100,1,-6.32,-1.03
China,"Other Asia, nes",2020,Export,  All Products,60168117.62,100,1,0.26,5.47
China,Oman,2020,Export,  All Products,3076466.08,100,1,10.12,12.82
China,Pakistan,2020,Export,  All Products,15357592.99,100,1,-4.38,0.32
China,Panama,2020,Export,  All Products,8793631.44,100,1,-17.24,-14.41
China,Peru,2020,Export,  All Products,8865725.95,100,1,-7.75,0.22
China,Philippines,2020,Export,  All Products,41880388.82,100,1,-9.95,-9.3
China,Palau,2020,Export,  All Products,24083.79,100,,,
China,Papua New Guinea,2020,Export,  All Products,922820.43,100,,,
China,Poland,2020,Export,  All Products,26730657.67,100,1,1.61,9.98
China,"Korea, Dem. Rep.",2020,Export,  All Products,490967.99,100,,,
China,Portugal,2020,Export,  All Products,4180565.07,100,1,-6.74,2.97
China,Paraguay,2020,Export,  All Products,1216925.09,100,1,-8.44,25.16
China,Occ.Pal.Terr,2020,Export,  All Products,100455.87,100,1,-4.25,-5.33
China,French Polynesia,2020,Export,  All Products,100192.26,100,1,-10.06,-1.84
China,Qatar,2020,Export,  All Products,2631009.7,100,1,-5.9,5.1
China,Romania,2020,Export,  All Products,5126383.64,100,1,-2.4,6.19
China,Russian Federation,2020,Export,  All Products,50504392.05,100,1,-3.19,0.71
China,Rwanda,2020,Export,  All Products,282522.73,100,,,
China,South Asia,2020,Export,  All Products,102952753,100,,,
China,Saudi Arabia,2020,Export,  All Products,28094807.84,100,1,-4.62,-1.04
China,Senegal,2020,Export,  All Products,2563934.08,100,1,-2.05,-9.09
China,"Serbia, FR(Serbia/Montenegro)",2020,Export,  All Products,1624339.45,100,1,-0.94,14.54
China,Singapore,2020,Export,  All Products,57624786.43,100,1,-4.32,-1.71
China,Solomon Islands,2020,Export,  All Products,116601.73,100,,,
China,Sierra Leone,2020,Export,  All Products,371371.82,100,,,
China,El Salvador,2020,Export,  All Products,938235.8,100,1,-6.02,-5.78
China,San Marino,2020,Export,  All Products,6649.45,100,,,
China,Somalia,2020,Export,  All Products,892584.59,100,,,
China,Saint Pierre and Miquelon,2020,Export,  All Products,385.8,100,,,
China,South Sudan,2020,Export,  All Products,156082.89,100,,,
China,Sub-Saharan Africa,2020,Export,  All Products,82446728.92,100,,,
China,Sao Tome and Principe,2020,Export,  All Products,20313.47,100,1,-3.31,-13.92
China,Sudan,2020,Export,  All Products,2511410.87,100,,,
China,Suriname,2020,Export,  All Products,221329.11,100,1,-5.35,-10.05
China,Slovak Republic,2020,Export,  All Products,3031506.14,100,1,-3.3,-0.45
China,Slovenia,2020,Export,  All Products,3452194.03,100,1,-2.18,7.04
China,Sweden,2020,Export,  All Products,8368156.18,100,1,-3.04,-2.18
China,Eswatini,2020,Export,  All Products,39892.18,100,1,-6.4,-5.18
China,Seychelles,2020,Export,  All Products,57669.98,100,1,1.94,-20.08
China,Syrian Arab Republic,2020,Export,  All Products,833516.7,100,,,
China,Turks and Caicos Isl.,2020,Export,  All Products,3310.83,100,,,
China,Chad,2020,Export,  All Products,298320.68,100,,,
China,Togo,2020,Export,  All Products,2459152.64,100,1,10.24,9.67
China,Thailand,2020,Export,  All Products,50513175.95,100,1,-2.12,4.33
China,Tajikistan,2020,Export,  All Products,1016829.93,100,1,-2.87,-14.91
China,Turkmenistan,2020,Export,  All Products,443488.59,100,,,
China,East Timor,2020,Export,  All Products,191272.4,100,,,
China,Tonga,2020,Export,  All Products,33718.77,100,,,
China,Trinidad and Tobago,2020,Export,  All Products,341200.03,100,1,-12.29,-7.2
China,Tunisia,2020,Export,  All Products,1427658.17,100,,,
China,Turkey,2020,Export,  All Products,20346420.26,100,1,2.16,9.75
China,Tuvalu,2020,Export,  All Products,16141.02,100,,,
China,Tanzania,2020,Export,  All Products,4174266.14,100,1,-3.02,4.15
China,Uganda,2020,Export,  All Products,790287.29,100,1,3.54,3.73
China,Ukraine,2020,Export,  All Products,6877930.39,100,1,-6.04,-5.3
China,Unspecified,2020,Export,  All Products,16977.65,100,,,
China,Uruguay,2020,Export,  All Products,1703048.07,100,1,-4.22,-5.47
China,United States,2020,Export,  All Products,452492876.3,100,1,-3.21,-1.63
China,Uzbekistan,2020,Export,  All Products,5138707.66,100,1,-4.32,-6.21
China,Holy See,2020,Export,  All Products,726.4,100,,,
China,St. Vincent and the Grenadines,2020,Export,  All Products,10189.16,100,,,
China,Venezuela,2020,Export,  All Products,1518839.4,100,,,
China,British Virgin Islands,2020,Export,  All Products,8905.43,100,,,
China,Vietnam,2020,Export,  All Products,113815239.4,100,1,1.54,5.54
China,Vanuatu,2020,Export,  All Products,72411.51,100,,,
China, World,2020,Export,  All Products,2589098353,100,1,-3.91,-0.86
China,Wallis and Futura Isl.,2020,Export,  All Products,880.8,100,,,
China,Samoa,2020,Export,  All Products,87306.46,100,,,
China,Yemen,2020,Export,  All Products,2881276.8,100,,,
China,South Africa,2020,Export,  All Products,15238825.62,100,1,-11.51,-6.2
China,"Congo, Dem. Rep.",2020,Export,  All Products,2013411.04,100,1,-13.11,-9.38
China,Zambia,2020,Export,  All Products,681339,100,1,-14.22,-6.44
China,Zimbabwe,2020,Export,  All Products,524709.49,100,1,2.68,6.92
